NAME,INSTRUMENT,ALIVE,CURRENT AGE,AGE AT DEATH,# of Studio Albums
MILES DAVIS,trumpet,No,,65,60
JOHN COLTRANE,saxophone,No,,40,45
JACO PASTORIUS,bass,No,,35,1
WAYNE SHORTER,saxophone,No,,89,20
RON CARTER,bass,Yes,86,,2
MAX R0ACH,drums,No,,83,0
DIZZY GILLESPIE,trumpet,No,,75,106
HERBIE HANCOCK,piano,Yes,83,,41
DUKE ELLINGTON,piano,No,,75,200
Elvin Jones,drums,No,,76,0
